,precision,recall,f1-score,support
Complaint,0.8333333333333334,0.15625,0.2631578947368421,32.0
Inquiry,0.7878787878787878,0.41935483870967744,0.5473684210526316,62.0
Praise,1.0,0.8666666666666667,0.9285714285714286,30.0
Request for action,0.4375,0.9333333333333333,0.5957446808510638,30.0
Technical Issue,0.625,0.47619047619047616,0.5405405405405406,21.0
Unclear,0.0,0.0,0.0,4.0
accuracy,0.5307262569832403,0.5307262569832403,0.5307262569832403,0.5307262569832403
macro avg,0.6139520202020202,0.47529921915002565,0.4792304942920844,179.0
weighted avg,0.7361181648891145,0.5307262569832403,0.5555236277702136,179.0
